#{"t_start": 1744104159.0435402, "env_id": "None"}
r,l,t
16.0,16,11.194461
17.0,17,11.204992
53.0,53,11.227736
42.0,42,11.227736
73.0,73,11.243958
24.0,24,11.260183
41.0,41,11.260628
78.0,78,11.274219
59.0,59,17.213398
88.0,88,17.250787
101.0,101,17.260136
66.0,66,17.267269
139.0,139,17.267269
26.0,26,17.276584
22.0,22,17.276584
47.0,47,17.299546
14.0,14,17.309991
55.0,55,17.326515
107.0,107,17.326515
35.0,35,17.340033
28.0,28,17.340033
104.0,104,17.376648
19.0,19,17.393493
60.0,60,17.393493
72.0,72,17.418928
46.0,46,17.435429
121.0,121,17.435429
33.0,33,17.450444
19.0,19,17.450444
114.0,114,17.49799
41.0,41,17.501534
15.0,15,17.519587
40.0,40,17.542501
28.0,28,17.551
97.0,97,17.551
54.0,54,17.594796
52.0,52,17.607198
72.0,72,17.627762
206.0,206,17.644731
59.0,59,17.662185
33.0,33,17.693997
52.0,52,17.702855
24.0,24,17.711158
111.0,111,17.711158
54.0,54,17.743792
37.0,37,17.743792
15.0,15,17.760736
18.0,18,17.790175
77.0,77,17.793667
61.0,61,17.812104
20.0,20,17.837766
14.0,14,17.843723
64.0,64,17.853846
33.0,33,17.877262
122.0,122,17.910347
25.0,25,17.943228
67.0,67,17.943566
119.0,119,17.963318
41.0,41,17.976975
49.0,49,18.000082
435.0,435,18.060499
87.0,87,18.077185
38.0,38,18.09923
136.0,136,18.108318
31.0,31,18.112561
17.0,17,18.12895
158.0,158,18.14468
54.0,54,18.161246
36.0,36,18.161246
68.0,68,18.171781
10.0,10,18.180639
52.0,52,18.211531
47.0,47,18.211531
84.0,84,18.227954
74.0,74,18.278292
120.0,120,18.293605
21.0,21,18.304278
35.0,35,18.327652
118.0,118,18.327652
114.0,114,18.337119
45.0,45,18.34399
25.0,25,18.351825
43.0,43,18.376569
9.0,9,18.381869
60.0,60,18.409986
101.0,101,18.426648
53.0,53,18.455791
83.0,83,18.455791
147.0,147,18.488164
32.0,32,18.490171
23.0,23,18.512743
95.0,95,18.518195
20.0,20,18.539334
55.0,55,18.553173
86.0,86,18.553173
44.0,44,18.567873
40.0,40,18.583577
48.0,48,18.607658
19.0,19,18.609909
54.0,54,18.617767
49.0,49,18.617767
17.0,17,18.624768
28.0,28,18.646847
30.0,30,18.646847
118.0,118,18.723141
124.0,124,18.748165
129.0,129,18.763794
56.0,56,18.772035
152.0,152,18.788256
17.0,17,18.805028
53.0,53,18.818711
88.0,88,18.82942
71.0,71,18.886678
128.0,128,18.903311
91.0,91,18.918981
120.0,120,18.927833
39.0,39,18.960964
54.0,54,18.974141
97.0,97,18.977853
26.0,26,18.994627
106.0,106,19.005603
42.0,42,19.021714
35.0,35,19.027637
87.0,87,19.044241
76.0,76,19.094366
75.0,75,19.094366
117.0,117,19.111415
15.0,15,19.135458
115.0,115,19.168163
93.0,93,25.524026
77.0,77,25.539101
116.0,116,25.539101
72.0,72,25.554744
133.0,133,25.633948
141.0,141,25.661292
167.0,167,25.681175
76.0,76,25.714224
155.0,155,25.744336
86.0,86,25.744336
327.0,327,25.794944
158.0,158,25.855953
157.0,157,25.898504
169.0,169,25.904623
114.0,114,25.909565
177.0,177,26.022543
145.0,145,26.04579
195.0,195,26.078728
33.0,33,26.123488
164.0,164,26.211486
187.0,187,26.211486
102.0,102,26.228825
338.0,338,26.244791
74.0,74,26.278197
117.0,117,26.326312
87.0,87,26.330139
130.0,130,26.346715
144.0,144,26.420389
131.0,131,26.445178
152.0,152,26.469902
74.0,74,26.494737
174.0,174,26.519948
101.0,101,26.54465
60.0,60,26.553138
43.0,43,26.592782
74.0,74,26.594621
176.0,176,26.645442
122.0,122,26.677587
16.0,16,26.694467
90.0,90,26.742792
188.0,188,26.777686
232.0,232,26.827817
102.0,102,26.841264
71.0,71,26.849698
254.0,254,26.944679
109.0,109,26.944679
132.0,132,26.961601
39.0,39,26.992737
26.0,26,27.012394
88.0,88,27.044477
126.0,126,27.07809
72.0,72,27.15308
144.0,144,27.194482
182.0,182,27.194482
417.0,417,27.259418
131.0,131,27.292816
189.0,189,27.300337
79.0,79,27.316935
158.0,158,27.316935
17.0,17,27.333632
70.0,70,27.367086
92.0,92,27.376374
137.0,137,34.578936
250.0,250,34.672581
230.0,230,34.704228
317.0,317,34.807241
257.0,257,34.837711
192.0,192,34.863936
242.0,242,34.944257
148.0,148,34.983217
225.0,225,35.015069
268.0,268,35.125862
187.0,187,35.125862
158.0,158,35.1336
101.0,101,35.280646
269.0,269,35.431849
173.0,173,35.431849
89.0,89,35.47328
172.0,172,35.625755
201.0,201,35.64612
376.0,376,35.660745
304.0,304,35.766753
179.0,179,35.787217
144.0,144,35.787217
47.0,47,35.839161
163.0,163,35.965863
386.0,386,36.055801
234.0,234,36.055801
315.0,315,36.18353
282.0,282,36.242734
312.0,312,36.357666
237.0,237,36.405559
485.0,485,36.516878
285.0,285,36.622171
171.0,171,36.66975
292.0,292,36.685616
500.0,500,36.718805
198.0,198,43.341078
387.0,387,43.436863
415.0,415,43.500936
500.0,500,43.580956
500.0,500,43.692549
359.0,359,43.760184
500.0,500,43.781688
434.0,434,43.892695
323.0,323,43.940347
500.0,500,44.116604
500.0,500,44.148414
334.0,334,44.1806
448.0,448,44.225313
357.0,357,44.378727
363.0,363,44.426505
395.0,395,44.426505
306.0,306,44.442628
168.0,168,44.556354
305.0,305,44.651662
317.0,317,44.651662
417.0,417,44.667688
500.0,500,52.173466
453.0,453,52.265966
500.0,500,52.290261
500.0,500,52.321721
455.0,455,52.602017
500.0,500,52.74192
500.0,500,52.77529
500.0,500,52.787105
500.0,500,53.068531
500.0,500,53.195077
500.0,500,53.235217
500.0,500,53.259355
500.0,500,53.524787
500.0,500,53.620267
500.0,500,53.63627
500.0,500,53.668072
500.0,500,60.436204
500.0,500,60.574934
500.0,500,60.607756
500.0,500,60.636694
500.0,500,60.967012
500.0,500,61.129891
500.0,500,61.174423
500.0,500,61.199396
500.0,500,61.455864
500.0,500,61.574799
500.0,500,61.605535
500.0,500,61.624688
500.0,500,61.907669
500.0,500,62.045341
500.0,500,62.06938
500.0,500,62.100874
500.0,500,68.532527
500.0,500,68.663993
500.0,500,68.691732
500.0,500,68.726796
500.0,500,68.980165
500.0,500,69.094722
500.0,500,69.115741
500.0,500,69.145284
500.0,500,69.488611
500.0,500,69.659838
500.0,500,69.710583
500.0,500,69.747249
500.0,500,70.059921
500.0,500,70.229586
500.0,500,70.270851
500.0,500,70.304202
500.0,500,75.935839
500.0,500,76.051452
500.0,500,76.077171
500.0,500,76.093182
500.0,500,76.306977
500.0,500,76.412259
500.0,500,76.443127
500.0,500,76.460968
500.0,500,76.684695
500.0,500,76.775853
500.0,500,76.807783
500.0,500,76.82653
500.0,500,77.023436
500.0,500,77.157025
500.0,500,77.204285
500.0,500,77.226772
